RecordID,Timestamp,Hostname,EventID,Provider,Level,Account,SourceIP,Process,CommandLine,FilePath,SHA256,Message,Mitre_Tactic,Mitre_Technique,Mitre_Technique_ID,Notes
1,2025-09-07 01:17:13,WIN-HOST-004,1,Microsoft-Windows-Sysmon,Information,svc_updater,57.36.86.222,C:\Program Files\Mozilla Firefox\firefox.exe,"""C:\Program Files\Mozilla Firefox\firefox.exe"" -arg1 /c ""do_something""",C:\Users\svc_updater\AppData\Local\Temp\d8e6272a.tmp,3627a2ff39c85e2e1b05f86703972cbdaea43e18b536aca89ca7401dc3cf870c,Process Create.,Impact,System Shutdown/Reboot,T1529,
2,2025-07-07 22:49:34,WIN-HOST-070,1,Microsoft-Windows-Sysmon,Information,Administrator,8.34.232.243,C:\Windows\System32\taskhostw.exe,"""C:\Windows\System32\taskhostw.exe"" -arg2 /c ""do_something""",C:\Users\Administrator\AppData\Local\Temp\f485f2f6.tmp,f481a5fa4a81ac699866ce56515d0529e9b412c489299d9590c6a99ef1c19c2b,Process Create.,Initial Access,Exploit Public-Facing Application,T1190,
3,2025-07-30 19:08:38,WIN-HOST-078,7045,Service Control Manager,Information,SYSTEM,139.129.72.246,C:\Program Files\Git\bin\bash.exe,"""C:\Program Files\Git\bin\bash.exe"" -arg4 /c ""do_something""",C:\Users\SYSTEM\AppData\Local\Temp\9a700523.tmp,d3ca038696d41c37cebe0333aed85da76cd3109a5808499c5a3275917bd24aee,A service was installed in the system.,Persistence,Service Registry Permissions Weakness,T1547.001,
4,2025-08-21 20:28:33,WIN-HOST-001,4627,Microsoft-Windows-Security-Auditing,Information,Guest,87.26.168.118,C:\Windows\System32\taskhostw.exe,"C:\Windows\System32\taskhostw.exe -ExecutionPolicy Bypass -NoProfile -WindowStyle Hidden -Command ""Invoke-Expression ...""",C:\Users\Guest\AppData\Local\Temp\9398e30f.tmp,ced896b9735722ad65463dc5185f52e194387b3f8bde42b5825eb0266836946d,Command executed via scripting engine.,Execution,PowerShell,T1059.001,Suspicious scripting activity; check base64 or obfuscation.
5,2025-08-16 04:23:06,WIN-HOST-014,11,Microsoft-Windows-Sysmon,Error,Administrator,24.194.103.151,C:\Windows\System32\taskhostw.exe,"""C:\Windows\System32\taskhostw.exe"" -arg3 /c ""do_something""",C:\Users\Administrator\AppData\Local\Temp\94dc7aa1.tmp,8ff10d8aa7fdd42f4736948f9c98633770dd4d6c2c7cd44d62a331b8de4c60ec,File created.,Discovery,File and Directory Discovery,T1083,
6,2025-08-23 04:19:44,WIN-HOST-006,4627,Microsoft-Windows-Security-Auditing,Information,alice,236.27.140.161,C:\Program Files\Git\bin\bash.exe,"""C:\Program Files\Git\bin\bash.exe"" -arg5 /c ""do_something""",C:\Users\alice\AppData\Local\Temp\3a7a1186.tmp,f6d5d8a2ef426a58cbb5c158f291c8397d96600fbf4c39041e5ea1a0ae15dfa8,Group membership information.,Initial Access,Exploit Public-Facing Application,T1190,
7,2025-06-29 08:03:15,WIN-HOST-080,1102,Microsoft-Windows-Eventlog,Warning,john.doe,180.94.209.240,C:\Program Files\Mozilla Firefox\firefox.exe,"""C:\Program Files\Mozilla Firefox\firefox.exe"" -arg6 /c ""do_something""",C:\Users\john.doe\AppData\Local\Temp\5055fea1.tmp,da38474f39bd08ef8473ce390cd9e0a7a82dc2c6e2d02ee01f4e506bd8861a95,The audit log was cleared.,Initial Access,Phishing: Spearphishing Attachment,T1566.001,
8,2025-07-04 19:19:38,WIN-HOST-038,1,Service Control Manager,Information,Administrator,221.209.223.178,C:\Windows\System32\rundll32.exe,"""C:\Program Files\Mozilla Firefox\firefox.exe"" -arg3 /c ""do_something""",C:\Users\Administrator\AppData\Local\Temp\de6b3289.tmp,fbd9900aab3f59dc67541d9e17f3f24024f2006347777b158b45df4825ecf72d,Attempt to read LSASS memory process or dump credentials detected.,Credential Access,Credential Dumping,T1003,Possible Mimikatz-like activity: access to lsass.exe memory.
9,2025-06-28 21:05:20,WIN-HOST-047,11,Microsoft-Windows-Sysmon,Information,Guest,90.243.5.83,C:\Program Files\OpenSSH\ssh.exe,"""C:\Program Files\OpenSSH\ssh.exe"" -arg3 /c ""do_something""",C:\Users\Guest\AppData\Local\Temp\396a13dc.tmp,ce7d239c673f433ca806bdfca95056c45e40598262d0d04015c62788471fdeb2,File encryption/ransomware activity observed (file renames & extensions).,Impact,Ransomware,T1486,Mass file modifications and suspicious file extensions.
10,2025-07-13 11:55:32,WIN-HOST-010,8,Microsoft-Windows-Sysmon,Information,krbtgt,62.171.237.203,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,"""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"" -arg4 /c ""do_something""",C:\Users\krbtgt\AppData\Local\Temp\e04494d1.tmp,fa69b810f3876ff932ade2c6e30b4d67e9ff1ed8b18cc324bfaf9f278fb5dd3c,CreateRemoteThread detected.,Discovery,System Network Connections Discovery,T1049,
11,2025-06-20 00:23:22,WIN-HOST-072,1102,Microsoft-Windows-Eventlog,Warning,svc_backup,198.167.238.57,C:\Program Files\OpenSSH\ssh.exe,"""C:\Program Files\OpenSSH\ssh.exe"" -arg1 /c ""do_something""",C:\Users\svc_backup\AppData\Local\Temp\f5f88c0e.tmp,4962f1cb182a964d033d2e9d4ed0d87c7a252eef8f74b8527c82a043b5505446,The audit log was cleared.,Persistence,Service Registry Permissions Weakness,T1547.001,
12,2025-08-18 05:38:54,WIN-HOST-052,11,Microsoft-Windows-Sysmon,Error,svc_updater,80.142.186.215,C:\Windows\System32\cmd.exe,"""C:\Windows\System32\cmd.exe"" -arg4 /c ""do_something""",C:\Users\svc_updater\AppData\Local\Temp\6f5a4ccc.tmp,78d290e44cc8e6e6a7e2e0e9f55ca6b3b09bf05cd5888ccd2001e62df579dafb,Mass deletion of files detected.,Impact,Data Destruction,T1485,Data destruction activity suspected.
13,2025-06-23 23:14:45,WIN-HOST-059,5145,Microsoft-Windows-Security-Auditing,Information,Guest,35.190.208.29,C:\Program Files\7-Zip\7z.exe,"""C:\Program Files\7-Zip\7z.exe"" -arg5 /c ""do_something""",C:\Users\Guest\AppData\Local\Temp\b21e8288.tmp,5ba61869928f9198a82b93644c4dc6602c09bc003c7a5d9c9cf0068202c5b793,A network share object was checked to see whether client can be granted desired access.,Impact,System Shutdown/Reboot,T1529,
14,2025-08-23 08:28:29,WIN-HOST-075,4663,Microsoft-Windows-Security-Auditing,Information,svc_sql,92.171.204.151,C:\Windows\System32\taskhostw.exe,"C:\Windows\System32\taskhostw.exe -ExecutionPolicy Bypass -NoProfile -WindowStyle Hidden -Command ""Invoke-Expression ...""",C:\Users\svc_sql\AppData\Local\Temp\b69e9a74.tmp,5a46961c795c3ee14a76336b2768b1fd7b7fb7df030ec83995c9e3a95fb36664,Command executed via scripting engine.,Execution,PowerShell,T1059.001,Suspicious scripting activity; check base64 or obfuscation.
15,2025-09-09 00:52:22,WIN-HOST-007,4672,Microsoft-Windows-Security-Auditing,Information,Administrator,160.160.77.196,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,"""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"" -arg6 /c ""do_something""",C:\Users\Administrator\AppData\Local\Temp\baaa7c73.tmp,735128184d87b9b43347c0b50e041937b7c5b4b8fe0e083cda3004dfae30dbe2,Special privileges assigned to new logon.,Defense Evasion,Masquerading,T1036,
16,2025-07-21 22:58:24,WIN-HOST-009,1102,Microsoft-Windows-Security-Auditing,Information,svc_sql,241.67.38.47,C:\Windows\System32\taskhostw.exe,"""C:\Windows\System32\taskhostw.exe"" -arg6 /c ""do_something""",C:\Users\svc_sql\AppData\Local\Temp\1a1c5371.tmp,7593b0e316ce96846342f715831843d3477311d8ef5e20b6e2197b7538e8cdef,File encryption/ransomware activity observed (file renames & extensions).,Impact,Ransomware,T1486,Mass file modifications and suspicious file extensions.
17,2025-06-23 23:00:02,WIN-HOST-069,5156,Microsoft-Windows-Sysmon,Information,svc_updater,28.142.174.233,C:\Program Files\OpenSSH\ssh.exe,"""C:\Program Files\OpenSSH\ssh.exe"" -arg2 /c ""do_something""",C:\Users\svc_updater\AppData\Local\Temp\243d8b76.tmp,68abac58a5cae715fb7a833f5a98d784c57ac9f01d7712ec957ee0d2253ac459,Network scanning activity detected.,Discovery,Network Service Scanning,T1046,Port/protocol scanning pattern observed.
18,2025-07-09 18:06:38,WIN-HOST-034,4688,Microsoft-Windows-Security-Auditing,Information,bob,160.19.172.110,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,"""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"" -arg6 /c ""do_something""",C:\Users\bob\AppData\Local\Temp\769d7c02.tmp,3aa797dd1cc8298d4c459beae2d1de3d26015c58ae855cd24982e93e8cc37eaa,Registry query or modification.,Discovery,Query Registry,T1012,Possible discovery of startup keys or persistence mechanisms.
19,2025-08-29 13:12:38,WIN-HOST-020,3001,Microsoft-Windows-InternetExplorer,Information,john.doe,82.251.228.59,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,"""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"" -arg1 /c ""do_something""",C:\Users\john.doe\AppData\Local\Temp\dac2ca1d.tmp,55dcf4eca3fccf48aa3ee42c9968802fbf5cbf3b0e36557916ea029ba9961f73,User clicked on compromised web resource.,Initial Access,Drive-by Compromise,T1189,Possible drive-by compromise.
20,2025-08-13 14:54:02,WIN-HOST-040,8,Microsoft-Windows-Sysmon,Information,svc_backup,20.41.108.7,C:\Windows\System32\svchost.exe,"""C:\Windows\System32\svchost.exe"" -arg4 /c ""do_something""",C:\Users\svc_backup\AppData\Local\Temp\ee87e0e1.tmp,f253198c558338918f52d159b366924b14423aa0c26864c333f37f0baebe6090,CreateRemoteThread detected.,Impact,System Shutdown/Reboot,T1529,
21,2025-09-11 03:25:49,WIN-HOST-069,7,Microsoft-Windows-Sysmon,Warning,Guest,168.229.110.12,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,"""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"" -arg5 /c ""do_something""",C:\Users\Guest\AppData\Local\Temp\a31212de.tmp,20c17793a3c9ee86bab83a8f5c8521ecd89c5cd63e8a7f8dc3b5dafb4a39e20b,Image loaded (DLL).,Persistence,Boot or Logon Autostart Execution,T1547,
22,2025-08-23 03:04:49,WIN-HOST-068,4688,Microsoft-Windows-Security-Auditing,Information,krbtgt,246.224.124.192,C:\Windows\System32\taskhostw.exe,"""C:\Windows\System32\taskhostw.exe"" -arg5 /c ""do_something""",C:\Users\krbtgt\AppData\Local\Temp\544f897c.tmp,79d60fee4fb77d25a5b71666513f1dd05d2d9196bd21ce4052e3ec59b54205a9,A new process has been created.,Credential Access,Input Capture: Keylogging,T1056.001,
23,2025-07-08 23:50:40,WIN-HOST-026,11,Microsoft-Windows-Sysmon,Error,svc_updater,166.94.104.142,C:\Windows\System32\taskhostw.exe,"""C:\Windows\System32\taskhostw.exe"" -arg5 /c ""do_something""",C:\Users\svc_updater\AppData\Local\Temp\ff8b3aa2.tmp,9657e1f84942a78c1db289185d1ae005449bc330668b7a4fa49c270c696eea15,File created.,Discovery,System Network Connections Discovery,T1049,
24,2025-09-06 02:44:49,WIN-HOST-032,5156,Microsoft-Windows-Security-Auditing,Information,svc_backup,86.140.198.155,C:\Windows\System32\cmd.exe,"""C:\Windows\System32\cmd.exe"" -arg5 /c ""do_something""",C:\Users\svc_backup\AppData\Local\Temp\90cad46f.tmp,63ad0356e360e1b82ad009fe8e0741e5bd30f9a3462b0d33c72e3ae40a5c42fd,Encrypted outbound connection established.,Command and Control,Encrypted Channel,T1573,Potential C2 channel over TLS.
25,2025-08-27 11:33:48,WIN-HOST-001,4627,Microsoft-Windows-Security-Auditing,Information,Administrator,58.155.237.212,C:\Windows\System32\svchost.exe,"""C:\Windows\System32\svchost.exe"" -arg1 /c ""do_something""",C:\Users\Administrator\AppData\Local\Temp\2c216976.tmp,3dac41101b8275551f3acb119acd0462dd3f33190fb58fd43533e0ad981c08c7,Group membership information.,Privilege Escalation,Valid Accounts,T1078,
26,2025-08-16 18:45:10,WIN-HOST-010,7,Microsoft-Windows-Sysmon,Warning,bob,124.68.31.231,C:\Program Files\Mozilla Firefox\firefox.exe,"""C:\Program Files\Mozilla Firefox\firefox.exe"" -arg2 /c ""do_something""",C:\Users\bob\AppData\Local\Temp\6eaec7bf.tmp,d1922d7efc5116a25deda2729725c206a8b0fc06cdd17c93abce8206ae9849e8,Image loaded (DLL).,Collection,Input Capture,T1056,
